GHtime,Current VP_air,Next VP_air,Predicted VP_air,Predicted VP_top
43326.0069444445,1956.542637383874,1965.904085567318,2219.575619879771,2214.377926130095
43326.0104166666,1965.904085567318,1984.6269820911414,2289.8931868006875,2287.195824645323
43326.0138888889,1984.6269820911414,1991.6480666986233,2308.7368920948506,2306.6970760585473
43326.0173611111,1991.6480666986233,2001.0095150390002,2313.8568794247803,2312.0111667834226
43326.0208333334,2001.0095150390002,2005.690239523057,2316.3629910971435,2314.8537142236264
43326.0243055555,2005.690239523057,2004.9916274229734,2317.1864500034335,2315.7374880106972
43326.0277777778,2004.9916274229734,2024.413134948824,2307.1465877408523,2305.8800073336024
43326.03125,2024.413134948824,2016.6215093834364,2314.8938920325754,2313.40125217375
43326.0347222222,2016.6215093834364,2036.1149451099977,2306.729049014837,2305.491006509669
43326.0381944445,2036.1149451099977,2028.2513904260536,2313.8475100171872,2312.1121190428553
43326.0416666666,2028.2513904260536,2047.816755266828,2305.5427585077787,2304.066805143966
43326.0451388889,2047.816755266828,2039.881273315417,2313.5025911822468,2311.7503807024677
43326.0486111111,2039.881273315417,2054.837840813011,2304.6607702511806,2302.9818919239556
43326.0520833334,2054.837840813011,2049.1851779023873,2312.608959970149,2310.6812228244353
43326.0555555555,2049.1851779023873,2051.5111542336967,2304.1978304537656,2302.454695793924
43326.0590277778,2051.5111542336967,2056.163108785584,2302.0788642775874,2300.288020413132
43326.0625,2056.163108785584,2075.901097885715,2301.663699491441,2299.8914693686347
43326.0659722222,2075.901097885715,2078.241461806983,2312.0137462825005,2310.11038358784
43326.0694444445,2078.241461806983,2095.794594064318,2314.8329630247745,2313.0417514230126
43326.0729166666,2095.794594064318,2100.5042453112073,2325.88392583155,2323.934776052763
43326.0763888889,2100.5042453112073,2107.5687200498446,2328.888256293703,2327.057787699445
43326.0798611111,2107.5687200498446,2122.9527056755774,2329.6399960115914,2327.8243669980675
43326.0833333334,2122.9527056755774,2114.6331974357686,2339.830157144694,2337.7439544673784
43326.0868055555,2114.6331974357686,2114.633197472839,2332.0393479268673,2330.19583967241
43326.0902777778,2114.633197472839,2124.052498940243,2329.934485747194,2328.009891640752
43326.09375,2124.052498940243,2126.4073238531214,2329.37304620507,2327.4292239883835
43326.0972222222,2126.4073238531214,2141.9076410704524,2328.5634656236716,2326.4471038043057
43326.1006944445,2141.9076410704524,2173.2090767008544,2336.644900059221,2333.8127310900013
43326.1041666666,2173.2090767008544,2162.276013204288,2358.0502875083016,2354.5044336440205
43326.1076388889,2162.276013204288,2167.0439858126874,2353.1668267139453,2349.990553856776
43326.1111111111,2167.0439858126874,2182.8038177011717,2351.8950531849027,2348.6774751620287
43326.1145833334,2182.8038177011717,2171.8119603874966,2362.0266780862366,2358.6070615552194
43326.1180555555,2171.8119603874966,2176.5799335872257,2353.369585316746,2350.0138696984372
43326.1215277778,2176.5799335872257,2176.5799354129963,2350.774229803723,2347.2614864217303
43326.125,2176.5799354129963,2194.7972444980096,2350.508168211006,2347.079166821477
43326.1284722222,2194.7972444980096,2197.195931771655,2360.9419742468835,2357.3271265903027
43326.1319444445,2197.195931771655,2183.7318939385527,2363.644420861804,2360.111837200483
43326.1354166666,2183.7318939385527,2188.499868408477,2354.2967038055835,2351.083002506199
43326.1388888889,2188.499868408477,2201.993301067853,2351.8920151652837,2348.608164541231
43326.1423611111,2201.993301067853,2204.3919882366013,2361.355335128884,2357.764358439971
43326.1458333334,2204.3919882366013,2204.3919883974454,2364.342546207911,2360.962924458497
43326.1493055555,2204.3919883974454,2206.7906734579556,2361.8360960970786,2357.646472798538
43326.1527777778,2206.7906734579556,2193.2678410736557,2361.1607802358403,2356.94914338794
43326.15625,2193.2678410736557,2193.2678410736557,2351.0366199644664,2347.145883113048
43326.1597222222,2193.2678410736557,2206.7906734579556,2348.2806239517126,2344.273661918483
43326.1631944445,2206.7906734579556,2206.790673912568,2359.3086102255184,2355.409734672166
43326.1666666666,2206.790673912568,2188.4998676659625,2362.2011876784372,2358.3978945127787
43326.1701388889,2188.4998676659625,2190.8838539701637,2352.804085331631,2349.297966563074
43326.1736111111,2190.8838539701637,2193.2678409137975,2349.8535866523835,2346.1409729390257
43326.1770833334,2193.2678409137975,2193.2678410736557,2348.424488635618,2344.5213544464723
43326.1805555555,2193.2678410736557,2193.2678415258324,2348.1015187214343,2344.20018877013
43326.1840277778,2193.2678415258324,2206.7906725487437,2347.136738227537,2343.0095638810103
43326.1875,2206.7906725487437,2193.2678424301703,2357.5725794234595,2353.3004346011653
43326.1909722222,2193.2678424301703,2193.2678410736557,2348.856918887818,2344.6207268458616
43326.1944444445,2193.2678410736557,2193.2678410736557,2346.3600282446023,2341.994261747858
43326.1979166666,2193.2678410736557,2182.1868789562654,2345.4173611342976,2340.957660321422
43326.2013888889,2182.1868789562654,2193.2678395846933,2334.388746583475,2330.020197109467
43326.2048611111,2193.2678395846933,2195.6518276975735,2341.56796825543,2336.8242070150473
43326.2083333334,2195.6518276975735,2198.0358145612795,2343.4883520152334,2338.8187428346964
43326.2118055555,2198.0358145612795,2184.5562450748457,2343.812239921579,2339.1133767293027
43326.2152777778,2184.5562450748457,2184.5562450748457,2334.323263599773,2330.0322081060226
43326.21875,2184.5562450748457,2184.5562450748457,2331.6249550600664,2327.1960932461743
43326.2222222222,2184.5562450748457,2198.035814188048,2331.506375366281,2327.204126482283
43326.2256944445,2198.035814188048,2171.14900643517,2339.676590162753,2334.6179375969314
43326.2291666666,2171.14900643517,2168.794181048581,2320.4204303675097,2315.6649453231457
43326.2326388889,2168.794181048581,2168.794181048581,2316.0242862797513,2311.264001584138
43326.2361111111,2168.794181048581,2155.4734089949866,2317.2718386777547,2313.081941223877
43326.2395833334,2155.4734089949866,2142.224232762282,2306.635667663819,2302.473906834316
43326.2430555555,2142.224232762282,2139.8982563966333,2293.7280246503183,2289.694477482843
43326.2465277778,2139.8982563966333,2153.1330447627524,2290.334788228239,2286.1884194722597
43326.25,2153.1330447627524,2139.8982572817026,2297.978155891574,2293.1808075321937
43326.2534722222,2139.8982572817026,2153.1330456526052,2289.364443984815,2284.731135149192
43326.2569444445,2153.1330456526052,2139.898255954093,2297.4827752528404,2292.6188118360196
43326.2604166666,2139.898255954093,2139.898255954093,2290.1197779632002,2285.706718360662
